wkt,id
"MULTIPOLYGON (((-9.16843036854486 38.7502646713618, -9.1702269991131 38.7502646713618, -9.1702269991131 38.7516658167186, -9.16843036854486 38.7516658167186, -9.16843036854486 38.7502646713618)))",2224
"MULTIPOLYGON (((-9.1702269991131 38.7530669345741, -9.17202362968134 38.7530669345741, -9.17202362968134 38.7544680249281, -9.1702269991131 38.7544680249281, -9.1702269991131 38.7530669345741)))",2353
"MULTIPOLYGON (((-9.1702269991131 38.7558690877803, -9.17202362968134 38.7558690877803, -9.17202362968134 38.7572701231303, -9.1702269991131 38.7572701231303, -9.1702269991131 38.7558690877803)))",2483
"MULTIPOLYGON (((-9.17202362968134 38.758671130978, -9.17382026024958 38.758671130978, -9.17382026024958 38.7600721113229, -9.17202362968134 38.7600721113229, -9.17202362968134 38.758671130978)))",2608
"MULTIPOLYGON (((-9.17202362968134 38.7600721113229, -9.17382026024958 38.7600721113229, -9.17382026024958 38.7614730641648, -9.17202362968134 38.7614730641648, -9.17202362968134 38.7600721113229)))",2670
"MULTIPOLYGON (((-9.17202362968134 38.7628739895034, -9.17382026024958 38.7628739895034, -9.17382026024958 38.7642748873384, -9.17202362968134 38.7642748873384, -9.17202362968134 38.7628739895034)))",2792
"MULTIPOLYGON (((-9.17202362968134 38.7642748873384, -9.17382026024958 38.7642748873384, -9.17382026024958 38.7656757576694, -9.17202362968134 38.7656757576694, -9.17202362968134 38.7642748873384)))",2852
"MULTIPOLYGON (((-9.17202362968134 38.7656757576694, -9.17382026024958 38.7656757576694, -9.17382026024958 38.7670766004963, -9.17202362968134 38.7670766004963, -9.17202362968134 38.7656757576694)))",2911
"MULTIPOLYGON (((-9.1702269991131 38.7670766004963, -9.17202362968134 38.7670766004963, -9.17202362968134 38.7684774158187, -9.1702269991131 38.7684774158187, -9.1702269991131 38.7670766004963)))",2972
"MULTIPOLYGON (((-9.1702269991131 38.7544680249281, -9.17202362968134 38.7544680249281, -9.17202362968134 38.7558690877803, -9.1702269991131 38.7558690877803, -9.1702269991131 38.7544680249281)))",2418
